KENILWORTH,2018-10-27,12:00:00,1,,,,,,
No,Horse,Jockey,Trainer,Al/Bl,Kg,Dr,Fin,Dist,Time
3,HEAD OF THE PACK,William Bambiso (0.0),P Botha,A B,60.0,2,1,0.00,72.82
7,CAPTAIN CARLOS,Bulelani Thwalani (0.0),H W Crawford,A,59.0,1,2,3.50,73.47
2,RIKERS ISLAND (AUS),Lungisani Geledu (0.0),V H Marshall,A,60.0,4,3,4.75,73.71
6,ELUSIVE KAT,Petros Fama (0.0),V H Marshall,A B,59.0,5,4,4.85,73.73
11,FERGUS,Siphiwe Madalana (0.0),S J Snaith,A,59.0,6,5,11.35,74.98
4,AJAY,Andile Ndzongo (0.0),P D Reeves,A,60.0,7,6,12.10,75.13
10,DAY ZERO,M James Mkhala (0.0),C Bass-Robinson,A,59.0,3,7,13.10,75.33
9,BENELUX,Sebenzile Tamela (0.0),W G Prestage,A,59.0,11,8,17.35,76.18
8,DESPASITO,Dansile Wana (0.0),Burger/v Reenen,,59.0,9,9,17.55,76.22
5,ALL THE SEVENS,Andile Ndlebe (0.0),D M Katz,A B,59.0,8,10,18.55,76.42
1,NOVEMBER STORM,Lungese Nhose (0.0),J Ramsden,A B,60.0,10,11,23.05,77.35